dept,Acct Bal,WQ Day
Teklist,"49,670.15",1
Tagpad,"96,981.35",1
Skajo,"110,751.35",2
Quinu,"72,960",1
Leexo,"83,525.33",1
BlogXS,"18,047.85",3
Skidoo,"29,465.15",1
Babblestorm,"12,707.60",2
Browseblab,"19,223.90",3
Edgeclub,"8,666.20",4
Avamba,"2,431",2
Dynazzy,"1,174",4
Zava,"5,847.15",2
Photojam,"2,110",1
Twinder,"2,118.60",1
Shufflester,"12,378.10",2
Livetube,"8,438.20",0
Eamia,"7,448",2
Meeveo,"7,145",2
Viva,"3,508.35",1
Yamia,"6,794.25",0
Cogidoo,"12,447.35",0
Minyx,"3,190.35",0
Leenti,724.32,3
Myworks,"2,051",2
Yadel,"7,880",0
Dazzlesphere,"1,425",0
Linkbridge,"1,820",2
Zoomlounge,"22,417.90",1
Yodoo,"19,433.75",1
Flashset,"53,521.60",3
Nlounge,"54,807.75",1
Meedoo,"25,202.55",2
Tagtune,"19,426.25",1
Oyondu,"21,864.15",0
Brightbean,"21,538.85",1
Zazio,275,2
Flashpoint,"13,553.15",2
Youspan,923,0
Kazio,"2,708.45",0
Mycat,"3,348.15",0
Meedoo,"3,058",0
Dynava,"1,713.05",0
Dabjam,"2,259",0
Edgeclub,"5,175.90",1
Topiczoom,"2,120",0
Realcube,"2,633.95",2
Livepath,"2,172",0
Skajo,"2,172",1
Lazz,"1,526.40",0
Jabberstorm,"1,393.40",1
Gigazoom,"8,239.75",0
Twinder,"281,896.35",2
Blogpad,"180,139.70",1
Quire,"49,403.15",1
Youtags,"21,895.50",2
Topicblab,"47,943.15",0
Voonyx,"50,882.95",1
Skidoo,"5,542",2
Skalith,"27,510.25",2
Meedoo,"48,405.25",2
Vinder,"78,138.10",1
Jabbertype,"128,277.40",1
Buzzster,"51,395.90",3
Yabox,"29,177.30",0
Tavu,"9,686.90",3
Wikibox,"79,955.10",0
Flipopia,"20,586.20",3
Lazz,"52,979.25",0
Jaxworks,"26,490.40",2
Fliptune,"24,445.60",2
Riffwire,575,2
Skaboo,341,2
Reallinks,412.8,2
LiveZ,341,2
Fanoodle,352,2
Voonyx,"3,351.60",0
Wordify,"10,135.20",0
Skimia,"8,421",0
Feedspan,"2,911.25",0
Twimm,"3,650",2
Feednation,"3,104.35",1
Pixope,"6,196",0
Shuffletag,"2,182.65",0
Quinu,"7,716.30",0
Twitterwire,"3,060",0
Shufflester,"2,183.90",0
Dazzlesphere,"3,179.20",2
Linkbuzz,"2,011.85",0
Gabtype,"4,811.05",0
Feednation,"6,237.85",0
Realfire,"1,925.45",0
Dabshots,"3,147.25",0
Bluezoom,"1,687.65",1
Lazz,"20,134.10",0
Skaboo,"55,118.05",1
Skaboo,242,10
Blogspan,"2,431",2
Skimia,"3,899",2
Shuffletag,"16,268.05",0
,"127,403.80",0
,"126,627.45",1
,"67,393.45",0
,"50,509.15",0
,242,0
,"23,436.60",1
,991,1
,395,0
,395,0
,599,1
,"2,612",0
,"3,047.25",1
,"2,037",1
,"9,125.35",1
,"2,623.60",1
,"2,156.05",1
,"6,198.55",1
,"13,245.60",1
,"22,538.70",0
,"5,098",1
,"4,170.90",1
,"1,651.45",1
,"14,011.90",0
,"3,974.25",0
,"2,604",1
,"15,831.15",0
,"1,688.70",0
,"3,044",1
,"1,083.25",1
,"1,900",1
,"2,887",1
,"1,635",1
,"8,268.60",0
,"13,259",0
,"2,016",0
,"2,264",0
,"1,394.15",1
,"14,883.65",0
,"19,776.05",0
,933.3,0
,"1,195",1
,"2,694.40",0
,"2,611.25",0
,"13,165.70",0
,"2,123",0
,"8,594",0
,"3,413.35",0
,"1,366.62",1
,"2,178.05",1
,"8,670.30",0
,"1,900",0
,"1,195",0
,"2,985",0
,"5,356.15",0
,"6,126",0
,"5,909.65",0
,"5,631.10",1
,"147,486.70",1
,"39,480.15",0
,"49,054",1
,"43,934.15",0
,"34,900.62",1
,"22,707.30",0
,"1,684",1
,"86,023.65",0
,"24,743.85",0
,"132,199.10",0
,"51,148.45",1
,"5,138",1
,818,1
,"3,933",0
,272,0
,"24,095.70",0
,"3,509.95",0
,"7,650.45",0
,"5,391",0
,104,1
,249,1
,104,0
,"1,088",4
,126,4
,478.13,10
,104,1
,126,2
,454,0
,"338,099.30",0
,"10,946",0
,"3,771.25",0
,"12,388",0
,"2,820.20",0
,"6,459.20",0
,"1,435",0
,"35,762.05",0
,"72,846.85",0
,"23,334.77",0
,956,8
,"1,647.03",2
,126,3
,272,0
,182,0
